train;mean;mean;mean;std;std;std;min;min;min;max;max;max
model;MLP-FLS;CNN-FLS;RNN-FLS;MLP-FLS;CNN-FLS;RNN-FLS;MLP-FLS;CNN-FLS;RNN-FLS;MLP-FLS;CNN-FLS;RNN-FLS
program;;;;;;;;;;;;
Chart;188.7238095238095;595.7761904761904;209.86666666666665;67.41737706022087;302.64722911979214;55.66516033863234;85.33333333333333;204.33333333333334;143.33333333333334;246.47619047619048;952.4761904761905;263.8095238095238
Lang;28.000000000000004;354.9338461538461;94.39076923076918;13.011371085487518;146.31424254390024;12.569741361049953;14.8;182.27692307692308;80.32307692307693;45.53846153846154;541.6076923076923;111.24615384615385
Math;124.04800000000003;860.3759999999999;209.13400000000001;51.31766730887847;432.6859883132484;58.565505932581715;67.88;361.975;150.3;193.82;1396.74;289.84
Mockito;336.86486486486484;617.535135135135;278.981081081081;117.33871103793855;298.7700320947192;103.02408156303518;193.1891891891892;270.3243243243243;146.16216216216216;468.56756756756755;985.0;404.2972972972973
Time;997.9428571428572;1945.9714285714288;337.42857142857144;413.9173055338666;1050.8354272383483;162.30517391832217;503.14285714285717;595.7142857142857;135.71428571428572;1514.4285714285713;3120.785714285714;535.8571428571429
Total;163.64173913043487;687.348695652174;191.91434782608698;63.618366160217256;337.1519808102915;55.61121471347071;87.87826086956522;289.1673913043478;128.77826086956523;241.11304347826086;1100.7434782608696;262.89130434782606
Diff;-287.2265217391305;-3.9443478260866414;-484.58217391304413;-190.19921215069115;-36.407755806852606;-191.1431525755703;-89.82391304347826;29.51304347826084;-268.00869565217386;-536.8934782608696;-45.06304347826085;-730.2782608695652
Diff %;-63.705198761423595;-0.5705753678990524;-71.63114049238342;-74.9353978618891;-9.746167008401759;-77.46292585438648;-50.547447487858285;11.366281260203772;-67.54473433339541;-69.00886602604763;-3.9328667295297963;-73.53006842388665
